name,url
其他市场职位,/c101020100-p140701/
人力资源主管,/c101020100-p150101/
招聘,/c101020100-p150102/
HRBP,/c101020100-p150103/
人力资源专员/助理,/c101020100-p150104/
培训,/c101020100-p150105/
薪资福利,/c101020100-p150106/
绩效考核,/c101020100-p150107/
人力资源经理,/c101020100-p150403/
人力资源VP/CHO,/c101020100-p150406/
人力资源总监,/c101020100-p150108/
员工关系,/c101020100-p150109/
组织发展,/c101020100-p150110/
行政专员/助理,/c101020100-p150201/
前台,/c101020100-p150202/
行政主管,/c101020100-p150204/
经理助理,/c101020100-p150205/
后勤,/c101020100-p150207/
商务司机,/c101020100-p150208/
行政经理,/c101020100-p150401/
行政总监,/c101020100-p150209/
会计,/c101020100-p150301/
出纳,/c101020100-p150302/
财务顾问,/c101020100-p150303/
结算,/c101020100-p150304/
税务,/c101020100-p150305/
审计,/c101020100-p150306/
风控,/c101020100-p150307/
财务经理,/c101020100-p150402/
CFO,/c101020100-p150404/
财务总监,/c101020100-p150308/
财务主管,/c101020100-p150309/
法务专员/助理,/c101020100-p150203/
律师,/c101020100-p150502/
专利,/c101020100-p150503/
法律顾问,/c101020100-p150504/
法务主管,/c101020100-p150505/
法务经理,/c101020100-p150506/
法务总监,/c101020100-p150507/
CEO/总裁/总经理,/c101020100-p150407/
副总裁/副总经理,/c101020100-p150408/
事业部负责人,/c101020100-p150409/
区域/分公司/代表处负责人,/c101020100-p150410/
总裁/总经理/董事长助理,/c101020100-p150411/
合伙人,/c101020100-p150412/
创始人,/c101020100-p150413/
董事会秘书,/c101020100-p150414/
其他职能职位,/c101020100-p150601/
销售专员,/c101020100-p140301/
销售经理,/c101020100-p140302/
客户代表,/c101020100-p140303/
大客户代表,/c101020100-p140304/
BD经理,/c101020100-p140305/
商务渠道,/c101020100-p140306/
渠道销售,/c101020100-p140307/
代理商销售,/c101020100-p140308/
销售助理,/c101020100-p140309/
电话销售,/c101020100-p140310/
销售顾问,/c101020100-p140311/
商品经理,/c101020100-p140312/
广告销售,/c101020100-p140313/
网络营销,/c101020100-p140314/
营销主管,/c101020100-p140315/
销售工程师,/c101020100-p140316/
客户经理,/c101020100-p140317/
销售总监,/c101020100-p140402/
商务总监,/c101020100-p140403/
区域总监,/c101020100-p160101/
城市经理,/c101020100-p160102/
销售VP,/c101020100-p160103/
团队经理,/c101020100-p160104/
其他销售职位,/c101020100-p160201/
记者,/c101020100-p170101/
编辑,/c101020100-p170102/
采编,/c101020100-p170103/
撰稿人,/c101020100-p170104/
出版发行,/c101020100-p170105/
校对录入,/c101020100-p170106/
总编,/c101020100-p170107/
自媒体,/c101020100-p170108/
媒介经理,/c101020100-p170301/
媒介专员,/c101020100-p170302/
广告协调,/c101020100-p170303/
品牌公关,/c101020100-p170304/
活动策划执行,/c101020100-p170305/
媒介策划,/c101020100-p170306/
会议活动销售,/c101020100-p170401/
会议活动策划,/c101020100-p170402/
