company_name,salary,company_info,info_detail,name,time
拼多多,25K-50K,移动互联网,岗位职责,Java服务端研发工程师（广告B端）,发布于02月24日
强生,15K-25K,其他行业,Johnson & Johnson Application Services is currently searching for a (Senior) Java Developer to join a core software deve,(Senior) Java Developer,发布于02月26日
鸿仪通,11K-15K,计算机软件,1、3年以上Java开发经验，有Java系统架构经验；,Java开发工程师,发布于02月26日
惠兴信息,8K-16K,移动互联网,5险1金，10天带薪年假,JAVA开发,发布于17:47
白熊阅读,10K-15K,音乐/视频/阅读,岗位职责:,Java,发布于02月26日
京东商城,15K-30K,电子商务,工作职责：,Java后台工程师,发布于昨天
班凯信息,12K-22K,计算机软件,工作职责：1.定期完成量化的工作要求，独立处理和解决所负责的任务，并能够积极提出改进措施；,Java开发工程师_DC,发布于02月26日
上海好卓数据,15K-23K,医疗健康,职位描述：,Java中/高级开发工程师,发布于02月26日
旭耕,9K-13K,电子商务,岗位职责：,java工程师,发布于02月26日
旭耕,12K-18K,电子商务,岗位职责：,中/高级java工程师,发布于02月26日
上海水星家纺,10K-20K,其他行业,岗位要求：,JAVA高级开发工程师,发布于02月24日
上海水星家纺,5K-7K,其他行业,岗位要求：,JAVA开发工程师,发布于02月24日
慧博云通,12K-18K,计算机软件,工作职责：,JAVA开发,发布于10:28
宝宝树,20K-35K,互联网,岗位职责：,高级JAVA工程师,发布于02月23日
大连安普诺克,11K-13K,互联网,1.熟悉Java，有.net开发经验者优先；,java软件工程师,发布于02月24日
擎测,15K-30K,计算机服务,1、3-5年以上开发经验，精通Java，有扎实的编程功底，熟悉面向对象思想；,高级Java工程师,发布于02月26日
上海微创软件,14K-20K,计算机软件,项目介绍：,中高级JAVA研发工程师（分布式/云计算）,发布于02月24日
中科软,7K-14K,互联网,1.大专/本科以上学历，计算机相关专业，1年以上工作经验；,Java开发工程师,发布于昨天
上海人科,20K-25K,企业服务,负责平台的开发与维护工作,高级Java工程师,发布于02月26日
宝宝树,15K-25K,互联网,岗位职责：,JAVA工程师,发布于02月23日
上海夸客金融,15K-25K,互联网金融,岗位职责：,JAVA开发工程师,发布于11:27
上海至善股权投资,10K-17K,互联网金融,岗位职责,java开发工程师,发布于02月23日
再惠,15K-30K,互联网,岗位职责：,高级Java开发工程师,发布于02月24日
斯贝思,10K-20K,互联网,岗位职责：,Java,发布于02月26日
altenchina,10K-20K,计算机软件,Responsbility,Java开发（外派德企汽车行业）,发布于昨天
文思海辉技术有限公司,10K-17K,计算机软件,任职资格:,互联网开发（中山公园 java后台或者前端）,发布于11:36
万达信息,6K-8K,计算机软件,按计划完成开发任务。包括jsp页面开发（基于jquery框架），后端代码编写，业务逻辑开发，数据持久化。,Java,发布于昨天
微汇金融,20K-40K,互联网,岗位职责：,资深java工程师,发布于02月24日
菏怀软件科技,9K-16K,计算机软件,技术要求: 岗位职责：,Java中高级工程师,发布于02月26日
上海宣郝,12K-20K,计算机软件,1、 计算机相关专业本科，4年以上Java开发经验，1年以上架构设计经验；,java开发,发布于02月26日
大连明治科技有限公司,7K-10K,计算机软件,1.Java开发经验 3年以上,java国内,发布于02月24日
宇信科技集团,8K-16K,计算机软件,岗位职责：,Java开发工程师（上海）,发布于02月23日
携程旅行网,16K-30K,互联网,岗位职责,高级Java开发工程师,发布于昨天
文思海辉,10K-20K,计算机软件,本科以上学历，15年以前毕业，熟悉分布式开发或者有银行经验,Java,发布于14:01
拼多多,25K-50K,移动互联网,岗位职责,Java服务端研发工程师（广告C端）,发布于02月27日
通吧信息科技,8K-10K,计算机软件,岗位职责：  1. 参与完成项目的设计,JAVA,发布于02月26日
远成物流,15K-20K,物流/仓储,岗位职责： ,高级Java开发工程师,发布于昨天
途家网,25K-30K,互联网,工作职责：,高级Java开发工程师（Base上海）J10166,发布于02月24日
蚂蚁金服,35K-50K,互联网,工作地点：上海，北京，杭州，成都,Java高级开发工程师/专家,发布于昨天
hellobike,25K-50K,餐饮,这里有：,资深Java开发工程师,发布于昨天
浩汤金融,20K-25K,互联网,性格稳重、能够带领团队完成开发工作,Java后端系统架构搭建、数据库,发布于02月26日
爱回收,15K-25K,互联网,任职资格:,JAVA开发工程师,发布于昨天
爱回收,25K-32K,互联网,岗位职责:,JAVA架构师,发布于昨天
龙诺,10K-15K,电子商务,岗位要求：,java,发布于02月25日
财安金融,5K-7K,互联网金融,岗位职责：,Java开发工程师,发布于昨天
平安医疗,15K-30K,医疗健康,岗位职责,Java工程师/高级工程师,发布于昨天
广伟投资,12K-15K,企业服务,职位要求：,中级JAVA开发,发布于17:08
运满满,20K-40K,移动互联网,资深java开发工程师：岗位职责：,Java,发布于昨天
上海彩亿,18K-35K,互联网,岗位职责：,资深Java开发,发布于02月22日
博彦科技,12K-16K,计算机软件,任职要求：,Java 开发工程师,发布于昨天
Oracle,15K-30K,计算机软件,"3年以上Java/J2EE研发工作经验，熟悉tcp/ip, http, webservice, 英语口语流利，base五角场。",Sr. Java/J2EE Developer,发布于昨天
步锐捷,12K-24K,移动互联网,职位描述：,高级Java,发布于02月26日
爱回收,15K-30K,互联网,岗位职责:,高级JAVA工程师,发布于昨天
爱回收,10K-20K,互联网,岗位职责:,JAVA工程师,发布于昨天
储信,15K-25K,互联网,岗位职责：,高级java开发工程师,发布于02月24日
平安银行,15K-25K,互联网金融,平安银行消费金融核心系统后台开发支持,Java后端开发工程师,发布于昨天
上海至采,9K-15K,移动互联网,岗位描述：,中级java软件开发工程师,发布于02月26日
